-304.0,-145.0,359.0
-311.0,-146.0,362.0
-318.0,-136.0,356.0
-319.0,-122.0,340.0
-314.0,-116.0,323.0
-314.0,-116.0,323.0
-327.0,-118.0,322.0
-353.0,-104.0,326.0
-359.0,-82.0,320.0
-349.0,-79.0,309.0
-349.0,-79.0,309.0
-335.0,-92.0,314.0
-332.0,-117.0,328.0
-342.0,-153.0,343.0
-377.0,-228.0,316.0
-377.0,-228.0,316.0
-368.0,-282.0,303.0
-365.0,-304.0,333.0
-364.0,-310.0,398.0
-331.0,-268.0,442.0
-331.0,-268.0,442.0
-285.0,-212.0,427.0
-288.0,-183.0,401.0
-291.0,-132.0,404.0
-283.0,-85.0,376.0
-283.0,-85.0,376.0
-283.0,-65.0,335.0
-290.0,-63.0,293.0
-302.0,-80.0,269.0
-307.0,-101.0,266.0
-307.0,-101.0,266.0
-308.0,-120.0,291.0
-306.0,-137.0,326.0
-301.0,-148.0,347.0
-297.0,-141.0,359.0
-297.0,-141.0,359.0
-289.0,-126.0,368.0
-275.0,-116.0,377.0
-270.0,-123.0,386.0
-277.0,-128.0,397.0
-277.0,-128.0,397.0
-283.0,-115.0,402.0
-282.0,-112.0,416.0
-304.0,-125.0,419.0
-348.0,-177.0,390.0
-348.0,-177.0,390.0
-339.0,-230.0,352.0
-321.0,-269.0,365.0
-292.0,-305.0,397.0
-291.0,-308.0,401.0
-291.0,-308.0,401.0
-310.0,-294.0,415.0
-300.0,-238.0,443.0
-267.0,-187.0,443.0
-258.0,-157.0,432.0
-258.0,-157.0,432.0
-261.0,-122.0,424.0
-267.0,-83.0,388.0
-284.0,-71.0,335.0
-301.0,-90.0,289.0
-301.0,-90.0,289.0
-313.0,-117.0,273.0
-321.0,-145.0,277.0
-323.0,-173.0,300.0
-322.0,-207.0,325.0
-322.0,-207.0,325.0
-319.0,-233.0,361.0
-309.0,-240.0,399.0
-294.0,-230.0,439.0
-276.0,-215.0,476.0
-276.0,-215.0,476.0
-264.0,-200.0,491.0
-248.0,-181.0,501.0
-233.0,-172.0,508.0
-249.0,-177.0,501.0
-249.0,-177.0,501.0
-291.0,-197.0,469.0
-324.0,-230.0,410.0
-303.0,-238.0,388.0
-313.0,-242.0,378.0
-313.0,-242.0,378.0
-315.0,-298.0,373.0
-310.0,-278.0,397.0
-300.0,-206.0,407.0
-277.0,-159.0,404.0
-277.0,-159.0,404.0
-270.0,-130.0,390.0
-276.0,-108.0,376.0
-278.0,-98.0,366.0
-295.0,-123.0,362.0
-295.0,-123.0,362.0
-325.0,-215.0,367.0
-337.0,-326.0,350.0
-347.0,-328.0,230.0
-329.0,-272.0,135.0
-329.0,-272.0,135.0
-329.0,-314.0,143.0
-341.0,-304.0,183.0
-343.0,-309.0,204.0
-343.0,-291.0,191.0
-343.0,-291.0,191.0
-347.0,-277.0,198.0
-346.0,-257.0,208.0
-346.0,-249.0,207.0
-345.0,-255.0,202.0
-345.0,-255.0,202.0
