timestamp,ax,ay,az,label,subject_id
1781611462217,4948,-4752,-19148,4,A
1781611462238,4020,-6284,-21440,4,A
1781611462259,804,-1884,-18856,4,A
1781611462282,-2032,2052,-13376,4,A
1781611462303,-1772,4512,-7800,4,A
1781611462325,-8668,18788,15852,4,A
1781611462346,-18536,32767,32767,4,A
1781611462368,-16188,32767,29580,4,A
1781611462389,-3656,31600,19156,4,A
1781611462410,820,12940,9808,4,A
1781611462433,3212,1960,-2112,4,A
1781611462454,5340,-5108,-17000,4,A
1781611462477,4512,-9508,-27744,4,A
1781611462498,4888,-9812,-21696,4,A
1781611462519,-1232,448,-8436,4,A
1781611462541,-7392,13584,9500,4,A
1781611462563,-16376,32767,32767,4,A
1781611462585,-15792,32767,31444,4,A
1781611462606,1412,27796,19012,4,A
1781611462628,3320,11808,7816,4,A
1781611462649,4872,-1536,-6288,4,A
1781611462670,548,-4672,-20916,4,A
1781611462692,2516,-7388,-21844,4,A
1781611462714,1980,-6560,-17444,4,A
1781611462736,-1932,1608,-10276,4,A
1781611462757,-3716,5780,-996,4,A
1781611462779,-11364,32767,25072,4,A
1781611462800,-18840,32767,31428,4,A
1781611462822,-8108,32767,22628,4,A
1781611462843,20,22884,13896,4,A
1781611462865,1044,11308,5616,4,A
1781611462886,4108,1592,-3464,4,A
1781611462909,4196,-2972,-14824,4,A
1781611462929,3124,-5536,-21804,4,A
1781611462952,172,-2960,-20444,4,A
1781611462973,-372,-548,-16008,4,A
1781611462995,436,-1712,-10400,4,A
1781611463017,-4704,12680,15284,4,A
1781611463038,-21172,32767,32767,4,A
1781611463059,-17964,32767,30080,4,A
1781611463081,532,25456,17556,4,A
1781611463103,2444,11224,8460,4,A
1781611463124,4000,1048,-3688,4,A
1781611463146,2680,-3936,-17824,4,A
1781611463168,3640,-7776,-22224,4,A
1781611463189,980,-3996,-19524,4,A
1781611463211,-760,-1700,-12436,4,A
1781611463232,-2496,4156,-1292,4,A
1781611463254,-14952,32767,22532,4,A
1781611463276,-17844,32767,31524,4,A
1781611463297,-6296,32767,28316,4,A
1781611463319,276,24804,13696,4,A
1781611463340,2332,9440,1352,4,A
1781611463362,4500,-1656,-9296,4,A
1781611463383,4516,-5436,-16608,4,A
1781611463405,5376,-9736,-21344,4,A
1781611463427,1852,-6436,-17556,4,A
1781611463448,-2396,336,-10888,4,A
1781611463471,-4420,5332,-428,4,A
1781611463492,-11740,32767,29224,4,A
1781611463513,-32572,32767,9396,4,A
1781611463535,-8980,32767,21928,4,A
1781611463557,-1968,23008,13148,4,A
1781611463578,2136,6748,3140,4,A
1781611463599,2848,-476,-9832,4,A
1781611463622,1708,-2252,-17316,4,A
1781611463643,2036,-3528,-17436,4,A
1781611463665,-580,-804,-15316,4,A
1781611463687,-2000,3216,-10768,4,A
1781611463708,-1176,3668,-2532,4,A
1781611463729,-6312,25784,22148,4,A
1781611463751,-17588,32767,31584,4,A
1781611463773,-10024,32767,21636,4,A
1781611463794,-1180,25104,12860,4,A
1781611463815,-648,13136,5700,4,A
1781611463837,1124,5032,-3092,4,A
1781611463859,760,-884,-14744,4,A
1781611463881,1332,-5116,-21624,4,A
1781611463902,2460,-3952,-16740,4,A
1781611463924,876,844,-9644,4,A
1781611463946,-1880,4632,-3668,4,A
1781611463966,-5716,16464,12216,4,A
1781611463988,-15020,32767,30796,4,A
1781611464011,-18988,32767,23732,4,A
1781611464032,-5076,31580,16588,4,A
1781611464054,-252,14640,6324,4,A
1781611464074,1432,8036,0,4,A
1781611464096,2164,3904,-6644,4,A
1781611464118,2964,-1808,-15396,4,A
